repeat,tsc,us,vporzmm_vz Cycles,vporzmm_vz Unhalt_GHz
1,10550,4.070,0.029,3.359
1,20004,7.718,0.031,3.437
1,30000,11.574,0.032,3.472
1,40008,15.435,0.032,3.485
1,50016,19.296,0.032,3.489
1,60008,23.151,0.032,3.493
1,70012,27.011,0.032,3.498
1,80012,30.869,0.032,3.497
1,90002,34.723,0.032,3.496
1,100004,38.581,0.032,3.491
1,110008,42.441,0.032,3.487
1,120000,46.296,0.032,3.485
1,130000,50.154,0.032,3.488
1,140002,54.013,0.032,3.492
1,150006,57.872,0.032,3.497
1,160008,61.731,0.032,3.498
1,170010,65.590,0.032,3.497
1,180014,69.449,0.032,3.491
1,190008,73.305,0.032,3.488
1,200010,77.164,0.032,3.484
1,210004,81.019,0.032,3.488
1,220008,84.879,0.032,3.491
1,230000,88.734,0.032,3.496
1,240000,92.592,0.032,3.498
1,250004,96.451,0.032,3.495
1,260002,100.308,0.032,3.493
1,270004,104.167,0.032,3.490
1,280004,108.025,0.032,3.484
1,290004,111.883,0.032,3.486
1,300012,115.744,0.032,3.491
1,310006,119.600,0.032,3.493
1,320010,123.459,0.032,3.498
1,330006,127.316,0.032,3.498
1,340016,131.178,0.032,3.495
1,350000,135.030,0.032,3.491
1,360018,138.894,0.032,3.487
1,370000,142.746,0.032,3.485
1,380006,146.606,0.032,3.489
1,390006,150.464,0.032,3.493
1,400014,154.325,0.032,3.496
1,410014,158.183,0.032,3.498
1,420002,162.036,0.032,3.496
1,430000,165.893,0.032,3.491
1,440010,169.755,0.032,3.488
1,450008,173.613,0.032,3.484
1,460002,177.468,0.032,3.488
1,470006,181.328,0.032,3.492
1,480010,185.187,0.032,3.495
1,490006,189.044,0.032,3.498
1,500008,192.902,0.032,3.498
1,510006,196.760,0.032,3.492
1,520016,200.622,0.032,3.489
1,530012,204.478,0.032,3.485
1,540008,208.334,0.032,3.485
1,550018,212.196,0.032,3.491
1,560006,216.050,0.032,3.495
1,570010,219.909,0.032,3.499
1,580012,223.768,0.032,3.497
1,590004,227.623,0.032,3.493
1,600010,231.483,0.032,3.490
1,610004,235.339,0.032,3.486
1,620000,239.195,0.032,3.485
1,630010,243.057,0.032,3.489
1,640004,246.913,0.032,3.494
1,650008,250.772,0.032,3.497
1,660002,254.628,0.032,3.499
1,670008,258.488,0.032,3.495
1,680006,262.345,0.032,3.491
1,690002,266.202,0.032,3.487
1,700004,270.061,0.032,3.485
1,710012,273.922,0.032,3.488
1,720008,277.778,0.032,3.491
1,730014,281.638,0.032,3.497
1,740010,285.495,0.032,3.499
1,750004,289.351,0.032,3.495
1,760002,293.208,0.032,3.494
1,770012,297.070,0.032,3.488
1,780014,300.928,0.032,3.484
1,790010,304.785,0.032,3.487
1,800014,308.644,0.032,3.491
1,810004,312.499,0.032,3.495
1,820002,316.356,0.032,3.499
1,830004,320.215,0.032,3.497
1,840014,324.076,0.032,3.493
1,850018,327.936,0.032,3.490
1,860016,331.793,0.032,3.484
1,870016,335.651,0.032,3.486
1,880002,339.504,0.032,3.489
1,890014,343.366,0.032,3.493
1,900016,347.225,0.032,3.498
1,910012,351.082,0.032,3.498
1,920008,354.938,0.032,3.495
1,930012,358.797,0.032,3.490
1,940004,362.652,0.032,3.487
1,950008,366.512,0.032,3.484
1,960018,370.374,0.032,3.489
1,970010,374.229,0.032,3.492
1,980016,378.089,0.032,3.497
1,990008,381.944,0.032,3.499
1,1000018,385.806,0.032,3.496
1,1010002,389.658,0.032,3.492
1,1020012,393.519,0.032,3.488
1,1030014,397.378,0.032,3.483
1,1040010,401.235,0.032,3.488
1,1050014,405.094,0.032,3.492
1,1060006,408.949,0.032,3.494
1,1070002,412.805,0.032,3.498
1,1080002,416.663,0.032,3.498
1,1090012,420.525,0.032,3.492
1,1100006,424.381,0.032,3.490
1,1110008,428.240,0.032,3.484
1,1120004,432.096,0.032,3.487
1,1130010,435.956,0.032,3.490
1,1140018,439.818,0.032,3.494
1,1150000,443.669,0.032,3.498
1,1160004,447.528,0.032,3.497
1,1170018,451.391,0.032,3.495
1,1180002,455.243,0.032,3.491
1,1190018,459.107,0.032,3.486
1,1200000,462.959,0.032,3.486
1,1210010,466.820,0.032,3.489
1,1220002,470.675,0.032,3.493
1,1230008,474.536,0.032,3.496
1,1240006,478.393,0.032,3.499
1,1250010,482.252,0.032,3.495
1,1260012,486.111,0.032,3.492
1,1270008,489.968,0.032,3.487
1,1280012,493.827,0.032,3.485
1,1290006,497.683,0.032,3.488
1,1300008,501.541,0.032,3.493
1,1310018,505.403,0.032,3.494
1,1320010,509.258,0.032,3.500
1,1330018,513.119,0.032,3.496
1,1340012,516.975,0.032,3.492
1,1350002,520.829,0.032,3.488
1,1360002,524.687,0.032,3.485
1,1370016,528.550,0.032,3.486
1,1380004,532.404,0.032,3.491
1,1390014,536.266,0.032,3.494
1,1400016,540.124,0.032,3.499
1,1410018,543.983,0.032,3.498
1,1420016,547.840,0.032,3.494
1,1430006,551.695,0.032,3.489
1,1440004,555.552,0.032,3.486
1,1450002,559.409,0.032,3.487
1,1460008,563.269,0.032,3.489
1,1470006,567.126,0.032,3.493
1,1480008,570.985,0.032,3.497
1,1490008,574.843,0.032,3.499
1,1500018,578.705,0.032,3.494
1,1510002,582.557,0.032,3.491
1,1520016,586.420,0.032,3.486
1,1530002,590.273,0.032,3.485
1,1540010,594.134,0.032,3.488
1,1550010,597.992,0.032,3.493
1,1560012,601.851,0.032,3.496
1,1570008,605.707,0.032,3.500
1,1580016,609.568,0.032,3.496
1,1590010,613.424,0.032,3.492
