repeat,us,period,sdl,payspin,totspin,Cycles,Unhalt_GHz,IPC
0,3.268,0,9576,8,8,10596.000,3.188,0.880
0,6.275,0,19152,9,9,9592.000,3.199,0.984
0,9.232,0,28728,9,9,9394.000,3.185,1.008
0,12.176,0,38304,9,9,9382.000,3.190,1.008
0,15.114,0,47880,9,9,9374.000,3.187,1.009
0,18.053,0,57456,9,9,9378.000,3.191,1.009
0,21.308,0,67032,10,10,10427.000,3.198,1.002
0,24.249,0,76608,9,9,9379.000,3.195,1.011
0,27.182,0,86184,9,9,9405.000,3.201,1.004
0,30.122,0,95760,9,9,9377.000,3.195,1.010
0,33.060,0,105336,9,9,9381.000,3.197,1.008
0,36.321,0,114912,10,10,10406.000,3.188,1.007
0,39.264,0,124488,9,9,9383.000,3.187,1.008
0,42.208,0,134064,9,9,9383.000,3.189,1.008
0,45.152,0,143640,9,9,9378.000,3.188,1.008
0,48.007,0,153216,6,114,9133.000,3.178,0.818
0,51.003,0,162792,0,372,9557.000,3.204,0.416
0,54.008,0,172368,0,375,9601.000,3.196,0.418
0,57.004,0,181944,0,375,9586.000,3.199,0.419
0,60.003,0,191520,0,377,9597.000,3.199,0.421
0,63.006,0,201096,0,377,9593.000,3.196,0.421
0,66.000,0,210672,0,376,9563.000,3.193,0.421
0,69.006,0,220248,0,377,9590.000,3.190,0.421
0,72.006,0,229824,0,376,9561.000,3.187,0.422
0,75.001,0,239400,0,375,9541.000,3.187,0.420
0,78.000,0,248976,0,376,9563.000,3.187,0.422
0,81.006,0,258552,0,377,9592.000,3.191,0.421
0,84.000,0,268128,0,376,9562.000,3.194,0.422
0,87.008,0,277704,0,378,9615.000,3.199,0.419
0,90.004,0,287280,0,377,9589.000,3.198,0.421
0,93.000,0,296856,0,373,9582.000,3.197,0.418
0,96.004,0,306432,0,377,9594.000,3.195,0.420
0,99.001,0,316008,0,376,9564.000,3.191,0.422
0,102.004,0,325584,0,373,9583.000,3.190,0.417
0,105.004,0,335160,0,372,9554.000,3.187,0.416
0,108.005,0,344736,0,376,9565.000,3.186,0.422
0,111.005,0,354312,0,376,9565.000,3.189,0.421
0,114.008,0,363888,0,373,9584.000,3.193,0.417
0,117.006,0,373464,0,373,9585.000,3.196,0.416
0,120.007,0,383040,0,377,9593.000,3.198,0.421
0,123.002,0,392616,0,373,9585.000,3.199,0.418
0,126.002,0,402192,0,377,9590.000,3.197,0.420
0,129.005,0,411768,0,377,9590.000,3.194,0.421
0,132.002,0,421344,0,376,9560.000,3.190,0.423
0,135.001,0,430920,0,376,9566.000,3.190,0.420
0,138.004,0,440496,0,376,9566.000,3.184,0.423
0,141.006,0,450072,0,376,9564.000,3.188,0.421
0,144.003,0,459648,0,376,9562.000,3.190,0.421
0,147.004,0,469224,0,375,9589.000,3.194,0.418
0,150.004,0,478800,0,373,9583.000,3.196,0.418
0,153.002,0,488376,0,377,9590.000,3.199,0.421
0,156.001,0,497952,0,377,9596.000,3.199,0.420
0,159.008,0,507528,0,374,9605.000,3.196,0.418
0,162.003,0,517104,0,376,9565.000,3.194,0.420
0,165.004,0,526680,0,373,9579.000,3.190,0.418
0,168.004,0,536256,0,372,9559.000,3.187,0.418
0,171.007,0,545832,0,376,9562.000,3.185,0.422
0,174.006,0,555408,0,376,9562.000,3.189,0.422
0,177.002,0,564984,0,376,9565.000,3.192,0.421
0,180.002,0,574560,0,373,9583.000,3.194,0.417
0,183.007,0,584136,0,374,9605.000,3.198,0.417
0,186.007,0,593712,0,374,9599.000,3.200,0.417
0,189.003,0,603288,0,373,9581.000,3.196,0.418
0,192.004,0,612864,0,377,9589.000,3.195,0.421
0,195.006,0,622440,0,373,9581.000,3.191,0.419
0,198.006,0,632016,0,376,9568.000,3.191,0.419
0,201.005,0,641592,0,372,9555.000,3.186,0.418
0,204.007,0,651168,0,376,9565.000,3.186,0.422
0,207.003,0,660744,0,372,9557.000,3.190,0.416
0,210.008,0,670320,0,377,9589.000,3.192,0.421
0,213.000,0,679896,0,376,9560.000,3.193,0.423
0,216.008,0,689472,0,378,9616.000,3.198,0.421
0,219.004,0,699048,0,377,9590.000,3.199,0.421
0,222.006,0,708624,0,377,9595.000,3.197,0.421
0,225.000,0,718200,0,376,9562.000,3.194,0.422
