repeat,us,period,pdl,sdl,Cycles,Unhalt_GHz
1,3.002,0,15960000,9576,9800.000,3.198
1,6.004,0,15960000,19152,9558.000,3.187
1,9.001,0,15960000,28728,12661.000,1.007
1,18.650,0,15960000,38304,175.000,3.003
1,18.707,0,15960000,47880,170.000,2.812
1,18.772,0,15960000,57456,162.000,2.795
1,21.003,0,15960000,67032,6290.000,2.796
1,24.004,0,15960000,76608,8403.000,2.799
1,27.003,0,15960000,86184,8392.000,2.799
1,30.007,0,15960000,95760,8398.000,2.796
1,33.004,0,15960000,105336,8375.000,2.795
1,36.003,0,15960000,114912,8368.000,2.790
1,39.008,0,15960000,124488,8380.000,2.789
1,42.004,0,15960000,134064,8357.000,2.787
1,45.006,0,15960000,143640,8372.000,2.790
1,48.005,0,15960000,153216,8373.000,2.794
1,51.001,0,15960000,162792,8374.000,2.794
1,54.003,0,15960000,172368,8399.000,2.797
1,57.006,0,15960000,181944,8405.000,2.800
1,60.001,0,15960000,191520,8382.000,2.797
1,63.006,0,15960000,201096,8399.000,2.794
1,66.007,0,15960000,210672,8382.000,2.793
1,69.007,0,15960000,220248,8371.000,2.791
1,72.001,0,15960000,229824,8349.000,2.787
1,75.005,0,15960000,239400,8373.000,2.789
1,78.006,0,15960000,248976,8375.000,2.792
1,81.004,0,15960000,258552,8374.000,2.794
1,84.008,0,15960000,268128,8398.000,2.795
1,87.000,0,15960000,277704,8373.000,2.799
1,90.001,0,15960000,287280,8400.000,2.799
1,93.003,0,15960000,296856,8400.000,2.796
1,96.007,0,15960000,306432,8393.000,2.794
1,99.006,0,15960000,316008,8373.000,2.792
1,102.008,0,15960000,325584,8375.000,2.789
1,105.003,0,15960000,335160,8350.000,2.787
1,108.001,0,15960000,344736,8359.000,2.790
1,111.001,0,15960000,354312,8375.000,2.792
1,114.006,0,15960000,363888,8399.000,2.793
1,117.000,0,15960000,373464,8373.000,2.797
1,120.002,0,15960000,383040,8400.000,2.798
1,123.003,0,15960000,392616,8400.000,2.799
1,126.007,0,15960000,402192,8399.000,2.797
1,129.004,0,15960000,411768,8375.000,2.792
1,132.006,0,15960000,421344,8379.000,2.791
1,135.000,0,15960000,430920,8350.000,2.789
1,138.003,0,15960000,440496,8367.000,2.787
1,141.006,0,15960000,450072,8380.000,2.789
1,144.002,0,15960000,459648,8369.000,2.794
1,147.007,0,15960000,469224,8395.000,2.795
1,150.007,0,15960000,478800,8393.000,2.798
1,153.006,0,15960000,488376,8395.000,2.798
1,156.006,0,15960000,497952,8398.000,2.798
1,159.002,0,15960000,507528,8373.000,2.796
1,162.001,0,15960000,517104,8375.000,2.792
1,165.002,0,15960000,526680,8374.000,2.790
1,168.006,0,15960000,536256,8373.000,2.788
1,171.001,0,15960000,545832,8356.000,2.788
1,174.003,0,15960000,555408,8373.000,2.791
1,177.000,0,15960000,564984,8373.000,2.793
1,180.005,0,15960000,574560,8400.000,2.796
1,183.006,0,15960000,584136,8400.000,2.797
1,186.007,0,15960000,593712,8399.000,2.800
1,189.001,0,15960000,603288,8373.000,2.798
1,192.006,0,15960000,612864,8400.000,2.793
1,195.006,0,15960000,622440,8373.000,2.792
1,198.007,0,15960000,632016,8375.000,2.791
1,201.002,0,15960000,641592,8351.000,2.787
1,204.006,0,15960000,651168,8374.000,2.790
1,207.008,0,15960000,660744,8380.000,2.791
1,210.001,0,15960000,670320,8365.000,2.794
1,213.003,0,15960000,679896,8396.000,2.797
1,216.002,0,15960000,689472,8396.000,2.799
1,219.001,0,15960000,699048,8391.000,2.798
1,222.003,0,15960000,708624,8394.000,2.796
1,225.001,0,15960000,718200,8374.000,2.794
1,228.001,0,15960000,727776,8375.000,2.791
1,231.004,0,15960000,737352,8376.000,2.789
1,234.002,0,15960000,746928,8356.000,2.788
1,237.003,0,15960000,756504,8375.000,2.790
1,240.003,0,15960000,766080,8374.000,2.794
1,243.008,0,15960000,775656,8400.000,2.794
1,246.000,0,15960000,785232,8369.000,2.797
1,249.001,0,15960000,794808,8401.000,2.800
1,252.001,0,15960000,804384,8394.000,2.797
1,255.006,0,15960000,813960,8398.000,2.795
1,258.004,0,15960000,823536,8376.000,2.793
1,261.006,0,15960000,833112,8375.000,2.791
1,264.000,0,15960000,842688,8349.000,2.788
1,267.004,0,15960000,852264,8376.000,2.788
1,270.007,0,15960000,861840,8379.000,2.792
1,273.007,0,15960000,871416,8380.000,2.793
1,276.005,0,15960000,880992,8383.000,2.794
1,279.007,0,15960000,890568,8399.000,2.800
1,282.006,0,15960000,900144,8398.000,2.798
1,285.001,0,15960000,909720,8375.000,2.797
1,288.008,0,15960000,919296,8404.000,2.795
1,291.008,0,15960000,928872,8377.000,2.792
1,294.002,0,15960000,938448,8349.000,2.788
1,297.006,0,15960000,948024,8373.000,2.788
1,300.008,0,15960000,957600,8375.000,2.789
1,303.008,0,15960000,967176,8374.000,2.792
1,306.004,0,15960000,976752,8373.000,2.793
1,309.007,0,15960000,986328,8400.000,2.797
1,312.003,0,15960000,995904,8385.000,2.798
1,315.003,0,15960000,1005480,8397.000,2.801
1,318.008,0,15960000,1015056,8399.000,2.796
1,321.005,0,15960000,1024632,8375.000,2.793
1,324.008,0,15960000,1034208,8379.000,2.791
1,327.003,0,15960000,1043784,8356.000,2.788
1,330.008,0,15960000,1053360,8373.000,2.788
1,333.000,0,15960000,1062936,8351.000,2.789
1,336.007,0,15960000,1072512,8394.000,2.793
1,339.003,0,15960000,1082088,8373.000,2.796
1,342.004,0,15960000,1091664,8400.000,2.796
1,345.005,0,15960000,1101240,8400.000,2.799
1,348.007,0,15960000,1110816,8399.000,2.798
1,351.003,0,15960000,1120392,8372.000,2.796
1,354.008,0,15960000,1129968,8393.000,2.792
1,357.008,0,15960000,1139544,8370.000,2.791
1,360.003,0,15960000,1149120,8349.000,2.787
1,363.005,0,15960000,1158696,8374.000,2.788
1,366.006,0,15960000,1168272,8375.000,2.791
1,369.006,0,15960000,1177848,8380.000,2.793
1,372.008,0,15960000,1187424,8395.000,2.796
1,375.001,0,15960000,1197000,8373.000,2.799
1,378.002,0,15960000,1206576,8399.000,2.798
1,381.004,0,15960000,1216152,8400.000,2.798
1,384.001,0,15960000,1225728,8375.000,2.794
