repeat,us,period,pdl,sdl,Cycles,Unhalt_GHz
0,3.003,0,15960000,9576,9693.000,3.190
0,6.006,0,15960000,19152,9573.000,3.188
0,9.001,0,15960000,28728,9542.000,3.187
0,12.005,0,15960000,38304,9575.000,3.187
0,15.005,0,15960000,47880,9574.000,3.192
0,18.004,0,15960000,57456,9579.000,3.194
0,21.001,0,15960000,67032,9578.000,3.195
0,24.003,0,15960000,76608,9604.000,3.199
0,27.006,0,15960000,86184,9604.000,3.198
0,30.003,0,15960000,95760,9577.000,3.196
0,33.004,0,15960000,105336,9578.000,3.191
0,36.007,0,15960000,114912,9580.000,3.189
0,39.005,0,15960000,124488,9553.000,3.187
0,42.004,0,15960000,134064,9554.000,3.186
0,45.007,0,15960000,143640,9577.000,3.189
0,48.008,0,15960000,153216,9580.000,3.192
0,51.006,0,15960000,162792,9580.000,3.195
0,54.002,0,15960000,172368,9578.000,3.199
0,57.003,0,15960000,181944,9603.000,3.200
0,60.008,0,15960000,191520,9604.000,3.196
0,63.006,0,15960000,201096,9579.000,3.194
0,66.001,0,15960000,210672,9554.000,3.191
0,69.004,0,15960000,220248,9579.000,3.189
0,72.003,0,15960000,229824,9553.000,3.186
0,75.001,0,15960000,239400,9553.000,3.186
0,78.003,0,15960000,248976,9580.000,3.191
0,81.003,0,15960000,258552,9578.000,3.192
0,84.000,0,15960000,268128,9579.000,3.196
0,87.004,0,15960000,277704,9604.000,3.197
0,90.006,0,15960000,287280,9605.000,3.200
0,93.004,0,15960000,296856,9583.000,3.196
0,96.004,0,15960000,306432,9581.000,3.192
0,99.007,0,15960000,316008,9577.000,3.190
0,102.004,0,15960000,325584,9554.000,3.187
0,105.003,0,15960000,335160,9552.000,3.187
0,108.002,0,15960000,344736,9562.000,3.187
0,111.003,0,15960000,354312,9580.000,3.192
0,114.003,0,15960000,363888,9580.000,3.193
0,117.008,0,15960000,373464,9603.000,3.197
0,120.001,0,15960000,383040,9579.000,3.199
0,123.005,0,15960000,392616,9604.000,3.198
0,126.003,0,15960000,402192,9581.000,3.196
0,129.004,0,15960000,411768,9580.000,3.191
0,132.000,0,15960000,421344,9554.000,3.189
0,135.006,0,15960000,430920,9577.000,3.186
0,138.004,0,15960000,440496,9554.000,3.186
0,141.007,0,15960000,450072,9579.000,3.190
0,144.001,0,15960000,459648,9556.000,3.192
0,147.007,0,15960000,469224,9602.000,3.195
0,150.002,0,15960000,478800,9579.000,3.198
0,153.004,0,15960000,488376,9604.000,3.199
0,156.001,0,15960000,497952,9579.000,3.196
0,159.008,0,15960000,507528,9604.000,3.194
0,162.001,0,15960000,517104,9553.000,3.191
0,165.004,0,15960000,526680,9579.000,3.189
0,168.004,0,15960000,536256,9554.000,3.187
0,171.001,0,15960000,545832,9552.000,3.186
0,174.004,0,15960000,555408,9580.000,3.191
0,177.004,0,15960000,564984,9582.000,3.193
0,180.003,0,15960000,574560,9581.000,3.196
0,183.006,0,15960000,584136,9603.000,3.198
0,186.008,0,15960000,593712,9604.000,3.200
0,189.004,0,15960000,603288,9580.000,3.196
0,192.006,0,15960000,612864,9581.000,3.192
0,195.000,0,15960000,622440,9553.000,3.191
0,198.006,0,15960000,632016,9581.000,3.187
0,201.004,0,15960000,641592,9553.000,3.187
0,204.001,0,15960000,651168,9554.000,3.188
0,207.003,0,15960000,660744,9576.000,3.190
0,210.005,0,15960000,670320,9590.000,3.194
0,213.001,0,15960000,679896,9579.000,3.196
0,216.004,0,15960000,689472,9605.000,3.200
0,220.349,0,15960000,699048,13935.000,3.208
0,222.004,0,15960000,708624,5246.000,3.168
