repeat,us,period,sdl,payspin,totspin,Cycles,Unhalt_GHz,IPC
0,4.394,0,9576,2,2,14387.000,3.192,0.222
0,7.326,0,19152,2,2,9387.000,3.214,0.246
0,9.946,0,28728,2,2,8182.000,3.196,0.282
0,12.254,0,38304,7,7,7384.000,3.196,1.005
0,15.196,0,47880,9,9,9405.000,3.192,1.006
0,18.144,0,57456,9,9,9406.000,3.192,1.005
0,21.093,0,67032,9,9,9386.000,3.192,1.008
0,24.038,0,76608,9,9,9381.000,3.186,1.008
0,27.305,0,86184,10,10,10431.000,3.183,1.005
0,30.252,0,95760,9,9,9402.000,3.192,1.006
0,33.196,0,105336,9,9,9385.000,3.193,1.007
0,36.132,0,114912,9,9,9381.000,3.197,1.008
0,39.064,0,124488,9,9,9380.000,3.199,1.008
0,42.320,0,134064,10,10,10411.000,3.197,1.006
0,45.254,0,143640,9,9,9380.000,3.199,1.009
0,48.008,0,153216,6,101,8804.000,3.188,0.834
0,51.004,0,162792,0,370,9554.000,3.190,0.415
0,54.005,0,172368,0,374,9568.000,3.187,0.419
0,57.001,0,181944,0,373,9538.000,3.186,0.419
0,60.003,0,191520,0,376,9572.000,3.189,0.421
0,63.002,0,201096,0,376,9572.000,3.191,0.421
0,66.007,0,210672,0,372,9600.000,3.194,0.415
0,69.001,0,220248,0,376,9568.000,3.197,0.421
0,72.006,0,229824,0,378,9619.000,3.200,0.421
0,75.004,0,239400,0,371,9589.000,3.198,0.415
0,78.001,0,248976,0,376,9570.000,3.195,0.421
0,81.006,0,258552,0,375,9593.000,3.192,0.419
0,84.004,0,268128,0,372,9560.000,3.189,0.417
0,87.007,0,277704,0,376,9569.000,3.186,0.421
0,90.002,0,287280,0,375,9545.000,3.187,0.421
0,93.003,0,296856,0,376,9569.000,3.189,0.421
0,96.007,0,306432,0,375,9592.000,3.192,0.419
0,99.000,0,316008,0,372,9559.000,3.196,0.417
0,102.004,0,325584,0,374,9609.000,3.197,0.417
0,105.000,0,335160,0,373,9587.000,3.200,0.417
0,108.002,0,344736,0,377,9594.000,3.197,0.421
0,111.006,0,354312,0,377,9595.000,3.194,0.421
0,114.005,0,363888,0,376,9567.000,3.192,0.420
0,117.005,0,373464,0,376,9567.000,3.188,0.421
0,120.001,0,383040,0,375,9548.000,3.187,0.421
0,123.004,0,392616,0,376,9566.000,3.187,0.422
0,126.003,0,402192,0,376,9567.000,3.190,0.420
0,129.006,0,411768,0,377,9593.000,3.192,0.422
