repeat,us,period,pdl,sdl,Cycles,Unhalt_GHz
0,3.001,0,15960000,9576,9788.000,3.183
0,6.001,0,15960000,19152,9585.000,3.195
0,9.001,0,15960000,28728,9563.000,3.186
0,19.621,0,15960000,38304,6665.000,0.627
0,19.708,0,15960000,47880,162.000,2.826
0,19.787,0,15960000,57456,228.000,2.778
0,21.008,0,15960000,67032,3393.000,2.781
0,24.003,0,15960000,76608,8439.000,2.803
0,27.003,0,15960000,86184,8374.000,2.792
0,30.004,0,15960000,95760,8376.000,2.790
0,33.001,0,15960000,105336,8351.000,2.787
0,36.005,0,15960000,114912,8380.000,2.790
0,39.006,0,15960000,124488,8377.000,2.791
0,42.004,0,15960000,134064,8376.000,2.794
0,45.000,0,15960000,143640,8377.000,2.796
0,48.002,0,15960000,153216,8402.000,2.798
0,51.003,0,15960000,162792,8398.000,2.800
0,54.008,0,15960000,172368,8405.000,2.795
0,57.007,0,15960000,181944,8377.000,2.794
0,60.006,0,15960000,191520,8375.000,2.792
0,63.001,0,15960000,201096,8351.000,2.788
0,66.007,0,15960000,210672,8379.000,2.788
0,69.001,0,15960000,220248,8351.000,2.790
0,72.000,0,15960000,229824,8375.000,2.792
0,75.006,0,15960000,239400,8403.000,2.794
0,78.003,0,15960000,248976,8381.000,2.798
0,81.004,0,15960000,258552,8403.000,2.799
0,84.008,0,15960000,268128,8403.000,2.798
0,87.005,0,15960000,277704,8379.000,2.796
0,90.004,0,15960000,287280,8381.000,2.793
0,93.006,0,15960000,296856,8374.000,2.790
0,96.001,0,15960000,306432,8350.000,2.789
0,99.004,0,15960000,316008,8374.000,2.787
0,102.008,0,15960000,325584,8379.000,2.790
0,105.006,0,15960000,335160,8379.000,2.794
0,108.008,0,15960000,344736,8388.000,2.795
0,111.001,0,15960000,354312,8377.000,2.798
0,114.003,0,15960000,363888,8402.000,2.799
0,117.007,0,15960000,373464,8402.000,2.798
0,120.004,0,15960000,383040,8379.000,2.795
0,123.004,0,15960000,392616,8377.000,2.792
0,126.007,0,15960000,402192,8379.000,2.790
0,129.004,0,15960000,411768,8353.000,2.787
0,132.000,0,15960000,421344,8353.000,2.789
0,135.000,0,15960000,430920,8373.000,2.791
0,138.007,0,15960000,440496,8403.000,2.794
0,141.003,0,15960000,450072,8376.000,2.797
0,144.005,0,15960000,459648,8404.000,2.798
0,147.007,0,15960000,469224,8402.000,2.798
0,150.003,0,15960000,478800,8379.000,2.796
0,153.001,0,15960000,488376,8379.000,2.795
0,156.003,0,15960000,497952,8376.000,2.791
0,159.006,0,15960000,507528,8377.000,2.789
0,162.003,0,15960000,517104,8354.000,2.787
0,165.007,0,15960000,526680,8379.000,2.790
0,168.008,0,15960000,536256,8381.000,2.793
0,171.005,0,15960000,545832,8374.000,2.794
0,174.008,0,15960000,555408,8399.000,2.797
0,177.008,0,15960000,564984,8399.000,2.800
0,180.003,0,15960000,574560,8379.000,2.798
0,183.007,0,15960000,584136,8399.000,2.794
0,186.001,0,15960000,593712,8363.000,2.794
0,189.001,0,15960000,603288,8373.000,2.790
0,192.004,0,15960000,612864,8374.000,2.788
0,195.000,0,15960000,622440,8351.000,2.788
0,198.003,0,15960000,632016,8379.000,2.790
0,201.002,0,15960000,641592,8377.000,2.793
0,204.007,0,15960000,651168,8399.000,2.796
0,207.008,0,15960000,660744,8398.000,2.799
0,210.001,0,15960000,670320,8379.000,2.799
0,213.004,0,15960000,679896,8402.000,2.797
0,216.001,0,15960000,689472,8375.000,2.794
0,219.002,0,15960000,699048,8380.000,2.792
0,222.005,0,15960000,708624,8379.000,2.791
0,225.003,0,15960000,718200,8354.000,2.787
0,228.005,0,15960000,727776,8375.000,2.789
0,231.001,0,15960000,737352,8363.000,2.791
0,234.000,0,15960000,746928,8376.000,2.794
0,237.004,0,15960000,756504,8404.000,2.796
0,240.005,0,15960000,766080,8398.000,2.799
0,243.007,0,15960000,775656,8404.000,2.799
0,246.004,0,15960000,785232,8379.000,2.796
0,249.002,0,15960000,794808,8375.000,2.794
0,252.003,0,15960000,804384,8378.000,2.791
0,255.008,0,15960000,813960,8379.000,2.790
0,258.003,0,15960000,823536,8351.000,2.787
0,261.005,0,15960000,833112,8375.000,2.791
0,264.005,0,15960000,842688,8378.000,2.792
0,267.004,0,15960000,852264,8379.000,2.795
0,270.007,0,15960000,861840,8402.000,2.797
0,273.009,0,15960000,871416,8402.000,2.799
0,276.002,0,15960000,880992,8373.000,2.797
0,279.000,0,15960000,890568,8380.000,2.796
0,282.007,0,15960000,900144,8402.000,2.793
0,285.008,0,15960000,909720,8374.000,2.790
0,288.003,0,15960000,919296,8352.000,2.789
0,291.008,0,15960000,928872,8375.000,2.789
0,294.000,0,15960000,938448,8352.000,2.790
0,297.000,0,15960000,948024,8380.000,2.793
0,300.006,0,15960000,957600,8403.000,2.795
0,303.001,0,15960000,967176,8379.000,2.798
0,306.003,0,15960000,976752,8403.000,2.800
0,309.008,0,15960000,986328,8404.000,2.796
0,312.000,0,15960000,995904,8365.000,2.795
0,315.001,0,15960000,1005480,8379.000,2.792
0,318.001,0,15960000,1015056,8373.000,2.790
0,321.006,0,15960000,1024632,8374.000,2.787
0,324.001,0,15960000,1034208,8352.000,2.789
0,327.003,0,15960000,1043784,8379.000,2.791
0,330.001,0,15960000,1053360,8378.000,2.794
0,333.006,0,15960000,1062936,8402.000,2.797
0,336.000,0,15960000,1072512,8378.000,2.799
0,339.003,0,15960000,1082088,8404.000,2.798
0,342.005,0,15960000,1091664,8398.000,2.797
0,345.004,0,15960000,1101240,8379.000,2.794
0,348.005,0,15960000,1110816,8378.000,2.792
0,351.000,0,15960000,1120392,8351.000,2.789
0,354.004,0,15960000,1129968,8376.000,2.787
0,357.008,0,15960000,1139544,8376.000,2.789
0,360.008,0,15960000,1149120,8377.000,2.794
0,363.006,0,15960000,1158696,8379.000,2.794
0,366.000,0,15960000,1168272,8377.000,2.797
0,369.001,0,15960000,1177848,8399.000,2.799
0,372.001,0,15960000,1187424,8398.000,2.798
0,375.008,0,15960000,1197000,8404.000,2.795
0,378.006,0,15960000,1206576,8378.000,2.794
0,381.000,0,15960000,1216152,8353.000,2.791
0,384.005,0,15960000,1225728,8378.000,2.788
0,387.002,0,15960000,1235304,8354.000,2.788
0,390.004,0,15960000,1244880,8378.000,2.791
0,393.004,0,15960000,1254456,8380.000,2.793
0,396.001,0,15960000,1264032,8378.000,2.796
0,399.006,0,15960000,1273608,8405.000,2.798
0,402.006,0,15960000,1283184,8402.000,2.799
0,405.001,0,15960000,1292760,8375.000,2.798
0,408.007,0,15960000,1302336,8402.000,2.794
0,411.007,0,15960000,1311912,8375.000,2.792
0,414.003,0,15960000,1321488,8359.000,2.790
0,417.008,0,15960000,1331064,8375.000,2.787
0,420.001,0,15960000,1340640,8352.000,2.789
0,423.003,0,15960000,1350216,8380.000,2.792
0,426.001,0,15960000,1359792,8373.000,2.794
0,429.004,0,15960000,1369368,8399.000,2.796
0,432.007,0,15960000,1378944,8402.000,2.798
0,435.009,0,15960000,1388520,8404.000,2.800
0,438.000,0,15960000,1398096,8363.000,2.796
0,441.007,0,15960000,1407672,8402.000,2.794
0,444.008,0,15960000,1417248,8376.000,2.793
0,447.002,0,15960000,1426824,8352.000,2.788
0,450.007,0,15960000,1436400,8376.000,2.787
0,453.008,0,15960000,1445976,8373.000,2.789
0,456.008,0,15960000,1455552,8374.000,2.792
0,459.004,0,15960000,1465128,8377.000,2.795
0,462.001,0,15960000,1474704,8379.000,2.797
0,465.001,0,15960000,1484280,8402.000,2.799
