repeat,us,period,pdl,sdl,Cycles,Unhalt_GHz
2,3.005,0,15960000,9576,9708.000,3.194
2,6.006,0,15960000,19152,9575.000,3.189
2,9.001,0,15960000,28728,9547.000,3.189
2,19.483,0,15960000,38304,5934.000,0.567
2,19.526,0,15960000,47880,121.000,2.819
2,19.567,0,15960000,57456,117.000,2.766
2,21.001,0,15960000,67032,4043.000,2.798
2,24.006,0,15960000,76608,8399.000,2.795
2,27.004,0,15960000,86184,8397.000,2.801
2,30.003,0,15960000,95760,8394.000,2.798
2,33.006,0,15960000,105336,8394.000,2.795
2,36.004,0,15960000,114912,8376.000,2.793
2,39.006,0,15960000,124488,8374.000,2.791
2,42.008,0,15960000,134064,8375.000,2.789
2,45.004,0,15960000,143640,8348.000,2.787
2,48.004,0,15960000,153216,8374.000,2.790
2,51.003,0,15960000,162792,8374.000,2.793
2,54.008,0,15960000,172368,8402.000,2.796
2,57.001,0,15960000,181944,8375.000,2.798
2,60.002,0,15960000,191520,8399.000,2.800
2,63.003,0,15960000,201096,8399.000,2.797
2,66.000,0,15960000,210672,8374.000,2.795
2,69.009,0,15960000,220248,8399.000,2.792
2,72.000,0,15960000,229824,8348.000,2.791
2,75.004,0,15960000,239400,8375.000,2.787
2,78.007,0,15960000,248976,8374.000,2.788
2,81.007,0,15960000,258552,8374.000,2.791
2,84.004,0,15960000,268128,8374.000,2.794
2,87.009,0,15960000,277704,8399.000,2.796
2,90.000,0,15960000,287280,8374.000,2.799
2,93.001,0,15960000,296856,8399.000,2.800
2,96.006,0,15960000,306432,8399.000,2.796
2,99.001,0,15960000,316008,8375.000,2.793
2,102.001,0,15960000,325584,8375.000,2.791
2,105.004,0,15960000,335160,8375.000,2.791
2,108.003,0,15960000,344736,8357.000,2.787
2,111.004,0,15960000,354312,8374.000,2.789
2,114.004,0,15960000,363888,8375.000,2.792
2,117.001,0,15960000,373464,8376.000,2.795
2,120.005,0,15960000,383040,8402.000,2.797
2,123.006,0,15960000,392616,8400.000,2.799
2,126.009,0,15960000,402192,8402.000,2.798
2,129.003,0,15960000,411768,8375.000,2.795
2,132.002,0,15960000,421344,8374.000,2.793
2,135.002,0,15960000,430920,8374.000,2.791
2,138.006,0,15960000,440496,8375.000,2.788
2,141.001,0,15960000,450072,8349.000,2.788
2,144.003,0,15960000,459648,8376.000,2.791
2,147.001,0,15960000,469224,8374.000,2.793
2,150.006,0,15960000,478800,8402.000,2.795
2,153.009,0,15960000,488376,8399.000,2.799
2,156.000,0,15960000,497952,8375.000,2.799
2,159.003,0,15960000,507528,8399.000,2.798
2,162.009,0,15960000,517104,8399.000,2.794
2,165.007,0,15960000,526680,8376.000,2.793
2,168.000,0,15960000,536256,8348.000,2.790
2,171.004,0,15960000,545832,8375.000,2.787
2,174.006,0,15960000,555408,8374.000,2.790
2,177.007,0,15960000,564984,8374.000,2.791
2,180.004,0,15960000,574560,8373.000,2.793
2,183.009,0,15960000,584136,8400.000,2.796
2,186.001,0,15960000,593712,8376.000,2.799
2,189.002,0,15960000,603288,8400.000,2.799
2,192.006,0,15960000,612864,8399.000,2.797
2,195.002,0,15960000,622440,8375.000,2.794
2,198.002,0,15960000,632016,8374.000,2.791
2,201.004,0,15960000,641592,8374.000,2.789
2,204.000,0,15960000,651168,8348.000,2.788
2,207.002,0,15960000,660744,8376.000,2.789
2,210.006,0,15960000,670320,8385.000,2.793
2,213.002,0,15960000,679896,8376.000,2.794
2,216.006,0,15960000,689472,8399.000,2.797
2,219.006,0,15960000,699048,8400.000,2.800
2,222.006,0,15960000,708624,8395.000,2.798
2,225.001,0,15960000,718200,8375.000,2.795
2,228.009,0,15960000,727776,8399.000,2.794
2,231.007,0,15960000,737352,8369.000,2.790
2,234.001,0,15960000,746928,8348.000,2.789
2,237.006,0,15960000,756504,8373.000,2.787
2,240.006,0,15960000,766080,8374.000,2.791
2,243.003,0,15960000,775656,8375.000,2.793
2,246.008,0,15960000,785232,8399.000,2.796
2,249.002,0,15960000,794808,8375.000,2.797
2,252.002,0,15960000,804384,8399.000,2.800
2,255.004,0,15960000,813960,8398.000,2.798
2,258.001,0,15960000,823536,8375.000,2.795
2,261.008,0,15960000,833112,8399.000,2.793
2,264.002,0,15960000,842688,8349.000,2.790
2,267.006,0,15960000,852264,8373.000,2.787
2,270.008,0,15960000,861840,8376.000,2.789
2,273.001,0,15960000,871416,8351.000,2.791
2,276.008,0,15960000,880992,8400.000,2.793
2,279.003,0,15960000,890568,8376.000,2.797
2,282.004,0,15960000,900144,8400.000,2.798
2,285.004,0,15960000,909720,8399.000,2.800
2,288.009,0,15960000,919296,8399.000,2.796
2,291.006,0,15960000,928872,8375.000,2.795
2,294.006,0,15960000,938448,8375.000,2.791
2,297.008,0,15960000,948024,8374.000,2.790
2,300.003,0,15960000,957600,8348.000,2.787
2,303.004,0,15960000,967176,8375.000,2.789
2,306.004,0,15960000,976752,8374.000,2.793
2,309.001,0,15960000,986328,8374.000,2.794
2,312.006,0,15960000,995904,8408.000,2.797
2,315.008,0,15960000,1005480,8399.000,2.798
