repeat,us,period,sdl,payspin,totspin,Cycles,Unhalt_GHz,IPC
1,4.234,0,9576,2,2,13870.000,3.202,0.230
1,7.139,0,19152,2,2,9294.000,3.196,0.249
1,19.605,0,28728,2,2,12266.000,0.982,0.188
1,20.269,0,38304,1,1,1640.000,2.796,0.786
1,20.683,0,47880,1,1,1158.000,2.771,1.111
1,21.101,0,57456,1,1,1165.000,2.813,1.109
1,21.517,0,67032,1,1,1174.000,2.764,1.098
1,24.156,0,76608,7,7,7366.000,2.789,1.007
1,27.169,0,86184,8,8,8378.000,2.788,1.007
1,30.170,0,95760,8,8,8373.000,2.791,1.007
1,33.169,0,105336,8,8,8371.000,2.792,1.008
1,36.164,0,114912,8,8,8372.000,2.797,1.008
1,39.154,0,124488,8,8,8365.000,2.794,1.008
1,42.144,0,134064,8,8,8371.000,2.800,1.008
1,45.133,0,143640,8,8,8367.000,2.801,1.008
1,48.006,0,153216,5,113,8042.000,2.792,0.802
1,51.006,0,162792,0,325,8378.000,2.792,0.420
1,54.001,0,172368,0,324,8353.000,2.792,0.420
1,57.004,0,181944,0,328,8373.000,2.788,0.424
1,60.007,0,191520,0,328,8374.000,2.789,0.424
1,63.007,0,201096,0,328,8367.000,2.790,0.424
1,66.001,0,210672,0,328,8367.000,2.793,0.424
1,69.004,0,220248,0,326,8396.000,2.796,0.419
1,72.004,0,229824,0,326,8389.000,2.798,0.421
1,75.000,0,239400,0,329,8391.000,2.799,0.425
1,78.002,0,248976,0,326,8395.000,2.797,0.421
1,81.002,0,258552,0,324,8385.000,2.795,0.417
1,84.008,0,268128,0,326,8392.000,2.792,0.422
1,87.007,0,277704,0,325,8369.000,2.790,0.420
1,90.007,0,287280,0,328,8363.000,2.787,0.424
1,93.007,0,296856,0,328,8363.000,2.788,0.424
1,96.004,0,306432,0,326,8366.000,2.793,0.420
1,99.005,0,316008,0,329,8389.000,2.794,0.424
1,102.005,0,325584,0,329,8388.000,2.795,0.425
1,105.003,0,335160,0,329,8389.000,2.799,0.424
1,108.001,0,344736,0,329,8392.000,2.799,0.424
1,111.003,0,354312,0,326,8395.000,2.798,0.419
1,114.007,0,363888,0,326,8393.000,2.794,0.420
1,117.004,0,373464,0,325,8369.000,2.791,0.421
1,120.005,0,383040,0,325,8370.000,2.789,0.420
1,123.007,0,392616,0,325,8371.000,2.787,0.420
1,126.007,0,402192,0,328,8361.000,2.790,0.425
1,129.003,0,411768,0,325,8371.000,2.791,0.420
1,132.006,0,421344,0,329,8389.000,2.796,0.424
1,135.006,0,430920,0,329,8392.000,2.796,0.424
1,138.006,0,440496,0,326,8395.000,2.801,0.419
1,141.005,0,450072,0,326,8393.000,2.798,0.420
1,144.004,0,459648,0,329,8385.000,2.794,0.426
1,147.007,0,469224,0,329,8391.000,2.795,0.423
1,150.004,0,478800,0,328,8361.000,2.789,0.425
1,153.003,0,488376,0,328,8363.000,2.789,0.424
1,156.003,0,497952,0,328,8362.000,2.787,0.424
1,159.000,0,507528,0,328,8364.000,2.791,0.423
1,162.005,0,517104,0,329,8394.000,2.793,0.425
1,165.008,0,526680,0,329,8393.000,2.794,0.424
1,168.007,0,536256,0,329,8394.000,2.800,0.423
1,171.004,0,545832,0,329,8389.000,2.800,0.425
1,174.004,0,555408,0,326,8389.000,2.797,0.421
1,177.005,0,564984,0,329,8393.000,2.795,0.424
1,180.002,0,574560,0,328,8364.000,2.794,0.423
1,183.002,0,584136,0,325,8371.000,2.788,0.422
1,186.000,0,593712,0,324,8356.000,2.788,0.420
1,189.008,0,603288,0,329,8394.000,2.789,0.423
1,192.007,0,612864,0,328,8367.000,2.792,0.424
1,195.002,0,622440,0,328,8364.000,2.793,0.426
1,198.003,0,632016,0,329,8398.000,2.796,0.423
1,201.002,0,641592,0,329,8391.000,2.799,0.424
1,204.009,0,651168,0,330,8412.000,2.799,0.425
1,207.002,0,660744,0,325,8375.000,2.796,0.420
1,210.008,0,670320,0,326,8397.000,2.795,0.419
1,213.003,0,679896,0,328,8360.000,2.791,0.425
1,216.002,0,689472,0,328,8363.000,2.790,0.424
1,219.002,0,699048,0,328,8364.000,2.788,0.424
1,222.008,0,708624,0,329,8388.000,2.789,0.423
1,225.007,0,718200,0,325,8376.000,2.792,0.421
1,228.001,0,727776,0,328,8361.000,2.793,0.425
1,231.000,0,737352,0,329,8393.000,2.799,0.424
1,234.006,0,746928,0,330,8410.000,2.799,0.423
1,237.003,0,756504,0,329,8392.000,2.799,0.424
1,240.004,0,766080,0,329,8388.000,2.795,0.424
1,243.003,0,775656,0,325,8375.000,2.793,0.421
1,246.003,0,785232,0,325,8373.000,2.791,0.419
1,249.004,0,794808,0,328,8369.000,2.789,0.424
1,252.005,0,804384,0,328,8367.000,2.788,0.424
1,255.004,0,813960,0,328,8367.000,2.791,0.424
1,258.008,0,823536,0,329,8391.000,2.791,0.425
1,261.003,0,833112,0,325,8375.000,2.796,0.420
1,264.002,0,842688,0,327,8384.000,2.799,0.422
1,267.008,0,852264,0,330,8414.000,2.799,0.423
1,270.000,0,861840,0,325,8375.000,2.798,0.420
1,273.004,0,871416,0,329,8397.000,2.795,0.424
1,276.000,0,880992,0,328,8363.000,2.792,0.425
1,279.007,0,890568,0,329,8389.000,2.791,0.424
1,282.009,0,900144,0,328,8367.000,2.787,0.424
1,285.008,0,909720,0,328,8363.000,2.790,0.423
1,288.007,0,919296,0,325,8377.000,2.791,0.421
1,291.003,0,928872,0,325,8367.000,2.794,0.420
1,294.005,0,938448,0,329,8397.000,2.795,0.424
1,297.003,0,948024,0,329,8391.000,2.799,0.424
1,300.001,0,957600,0,329,8388.000,2.798,0.425
1,303.001,0,967176,0,329,8391.000,2.798,0.423
1,306.005,0,976752,0,329,8397.000,2.794,0.425
1,309.002,0,986328,0,328,8361.000,2.790,0.425
1,312.001,0,995904,0,328,8363.000,2.790,0.424
1,315.001,0,1005480,0,328,8366.000,2.788,0.423
1,318.008,0,1015056,0,329,8387.000,2.790,0.425
1,321.004,0,1024632,0,328,8368.000,2.792,0.423
1,324.002,0,1034208,0,325,8376.000,2.794,0.421
1,327.001,0,1043784,0,329,8391.000,2.797,0.424
1,330.008,0,1053360,0,330,8412.000,2.799,0.425
1,333.000,0,1062936,0,325,8375.000,2.799,0.420
1,336.004,0,1072512,0,326,8394.000,2.796,0.419
1,339.007,0,1082088,0,329,8394.000,2.794,0.424
1,342.004,0,1091664,0,328,8362.000,2.790,0.425
1,345.006,0,1101240,0,328,8370.000,2.789,0.424
1,348.006,0,1110816,0,328,8362.000,2.787,0.423
1,351.002,0,1120392,0,328,8362.000,2.790,0.426
1,354.008,0,1129968,0,329,8398.000,2.793,0.423
1,357.002,0,1139544,0,325,8367.000,2.796,0.420
1,360.002,0,1149120,0,329,8393.000,2.797,0.424
1,363.008,0,1158696,0,330,8414.000,2.801,0.423
1,366.000,0,1168272,0,328,8369.000,2.797,0.425
1,369.003,0,1177848,0,326,8394.000,2.796,0.419
1,372.000,0,1187424,0,328,8368.000,2.792,0.425
1,375.007,0,1197000,0,329,8391.000,2.791,0.424
1,378.007,0,1206576,0,328,8366.000,2.788,0.423
1,381.009,0,1216152,0,325,8370.000,2.788,0.422
1,384.008,0,1225728,0,325,8375.000,2.792,0.419
1,387.004,0,1235304,0,328,8365.000,2.795,0.424
1,390.006,0,1244880,0,326,8396.000,2.796,0.420
1,393.005,0,1254456,0,329,8394.000,2.798,0.425
1,396.002,0,1264032,0,329,8391.000,2.799,0.424
1,399.003,0,1273608,0,329,8391.000,2.795,0.424
1,402.007,0,1283184,0,326,8389.000,2.794,0.421
1,405.002,0,1292760,0,328,8363.000,2.792,0.424
1,408.001,0,1302336,0,328,8366.000,2.791,0.423
1,411.001,0,1311912,0,328,8360.000,2.786,0.425
1,414.002,0,1321488,0,325,8372.000,2.790,0.420
1,417.001,0,1331064,0,325,8377.000,2.792,0.420
1,420.003,0,1340640,0,329,8390.000,2.794,0.424
1,423.004,0,1350216,0,329,8393.000,2.798,0.423
1,426.002,0,1359792,0,329,8388.000,2.799,0.424
1,429.003,0,1369368,0,326,8397.000,2.797,0.421
1,432.008,0,1378944,0,328,8401.000,2.796,0.422
1,435.004,0,1388520,0,328,8370.000,2.794,0.423
1,438.001,0,1398096,0,328,8365.000,2.790,0.425
1,441.001,0,1407672,0,328,8362.000,2.788,0.424
1,444.002,0,1417248,0,328,8370.000,2.789,0.423
1,447.003,0,1426824,0,325,8376.000,2.790,0.421
1,450.007,0,1436400,0,329,8391.000,2.793,0.424
1,453.000,0,1445976,0,328,8362.000,2.794,0.425
1,456.001,0,1455552,0,326,8392.000,2.798,0.420
1,459.005,0,1465128,0,330,8416.000,2.801,0.423
1,462.004,0,1474704,0,329,8387.000,2.796,0.426
1,465.006,0,1484280,0,329,8394.000,2.796,0.423
1,468.001,0,1493856,0,328,8359.000,2.792,0.425
1,471.000,0,1503432,0,328,8371.000,2.792,0.423
1,474.001,0,1513008,0,328,8360.000,2.787,0.426
1,477.002,0,1522584,0,325,8370.000,2.789,0.420
1,480.007,0,1532160,0,329,8391.000,2.790,0.424
1,483.003,0,1541736,0,328,8368.000,2.793,0.424
1,486.005,0,1551312,0,329,8398.000,2.796,0.423
1,489.004,0,1560888,0,326,8389.000,2.798,0.421
1,492.001,0,1570464,0,329,8393.000,2.801,0.423
1,495.000,0,1580040,0,329,8386.000,2.795,0.425
1,498.006,0,1589616,0,326,8394.000,2.794,0.420
